162.142.125.196 - - [08/Oct/2021:00:48:09 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
162.142.125.196 - - [08/Oct/2021:00:48:10 +0300] "GET / HTTP/1.1" 200 20539 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
142.202.240.98 - - [08/Oct/2021:01:01:16 +0300] "GET /robots.txt HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:18 +0300] "GET /robots.txt HTTP/1.1" 404 5271 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:20 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.11/ HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:22 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.11/ HTTP/1.1" 404 1285 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:23 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.12/ HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:25 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.12/ HTTP/1.1" 404 1286 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:26 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.8/ HTTP/1.1" 301 178 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
142.202.240.98 - - [08/Oct/2021:01:01:28 +0300] "GET /index.php?forums/feedback-vorschl%C3%A4ge-ideen.8/ HTTP/1.1" 404 1285 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
